image,title,quantity,price
"https://cdn.zeptonow.com/production/ik-seo/tr:w-400,ar-1050-1050,pr-true,f-auto,q-80/cms/product_variant/0eeb675d-7b49-4242-92b5-028bc687ab4a/Yakult-Light-Probiotic-Fermented-Milk-Drink.jpeg",Yakult Light Probiotic Fermented Milk Drink,5 x 65 ml,₹100
"https://cdn.zeptonow.com/production/ik-seo/tr:w-400,ar-1050-1050,pr-true,f-auto,q-80/cms/product_variant/fed6f256-aefe-402a-8309-53ee4affac65/Yakult-Probiotic-Fermented-Milk-Drink.jpeg",Yakult Probiotic Fermented Milk Drink,5 x 65 ml,₹90
"https://cdn.zeptonow.com/production/ik-seo/tr:w-400,ar-710-400,pr-true,f-auto,q-80/cms/product_variant/e5de05a0-d811-43af-932c-034636d55e08/Yakult-Mango.jpg",Yakult Mango,325 ml,₹100
